10.56.1.2 : [36], 84 bytes, 0.11 ms (0.10 avg, 0% loss)
10.56.1.3 : [36], 84 bytes, 35.5 ms (41.2 avg, 0% loss)
10.56.1.5 : [36], 84 bytes, 1.23 ms (1.60 avg, 0% loss)
10.56.1.4 : [36], 84 bytes, 31.6 ms (33.2 avg, 0% loss)
10.56.1.1 : [37], 84 bytes, 16.3 ms (15.8 avg, 0% loss)
10.56.1.2 : [37], 84 bytes, 0.06 ms (0.10 avg, 0% loss)
10.56.1.3 : [37], 84 bytes, 41.0 ms (41.2 avg, 0% loss)
10.56.1.5 : [37], 84 bytes, 1.59 ms (1.60 avg, 0% loss)
10.56.1.4 : [37], 84 bytes, 34.4 ms (33.3 avg, 0% loss)
10.56.1.1 : [38], 84 bytes, 17.0 ms (15.8 avg, 0% loss)
10.56.1.2 : [38], 84 bytes, 0.09 ms (0.10 avg, 0% loss)
10.56.1.3 : [38], 84 bytes, 37.4 ms (41.1 avg, 0% loss)
10.56.1.5 : [38], 84 bytes, 1.28 ms (1.59 avg, 0% loss)
10.56.1.4 : [38], 84 bytes, 34.4 ms (33.3 avg, 0% loss)
10.56.1.1 : [39], 84 bytes, 20.8 ms (15.9 avg, 0% loss)
10.56.1.2 : [39], 84 bytes, 0.08 ms (0.10 avg, 0% loss)
10.56.1.3 : [39], 84 bytes, 36.0 ms (41.0 avg, 0% loss)
10.56.1.5 : [39], 84 bytes, 1.17 ms (1.58 avg, 0% loss)
10.56.1.4 : [39], 84 bytes, 32.9 ms (33.3 avg, 0% loss)
10.56.1.1 : [40], 84 bytes, 24.5 ms (16.2 avg, 0% loss)
10.56.1.2 : [40], 84 bytes, 0.07 ms (0.10 avg, 0% loss)
10.56.1.3 : [40], 84 bytes, 36.5 ms (40.9 avg, 0% loss)
10.56.1.5 : [40], 84 bytes, 2.57 ms (1.61 avg, 0% loss)
10.56.1.4 : [40], 84 bytes, 38.3 ms (33.4 avg, 0% loss)
10.56.1.1 : [41], 84 bytes, 12.9 ms (16.1 avg, 0% loss)
10.56.1.2 : [41], 84 bytes, 0.11 ms (0.10 avg, 0% loss)
10.56.1.3 : [41], 84 bytes, 50.2 ms (41.1 avg, 0% loss)
10.56.1.5 : [41], 84 bytes, 1.32 ms (1.60 avg, 0% loss)
10.56.1.4 : [41], 84 bytes, 27.7 ms (33.3 avg, 0% loss)
10.56.1.1 : [42], 84 bytes, 14.0 ms (16.0 avg, 0% loss)
10.56.1.2 : [42], 84 bytes, 0.12 ms (0.10 avg, 0% loss)
10.56.1.3 : [42], 84 bytes, 39.5 ms (41.1 avg, 0% loss)
10.56.1.5 : [42], 84 bytes, 1.53 ms (1.60 avg, 0% loss)
10.56.1.4 : [42], 84 bytes, 32.4 ms (33.3 avg, 0% loss)
10.56.1.1 : [43], 84 bytes, 15.0 ms (16.0 avg, 0% loss)
10.56.1.2 : [43], 84 bytes, 0.11 ms (0.10 avg, 0% loss)
10.56.1.3 : [43], 84 bytes, 37.1 ms (41.0 avg, 0% loss)
10.56.1.5 : [43], 84 bytes, 1.20 ms (1.59 avg, 0% loss)
10.56.1.4 : [43], 84 bytes, 30.6 ms (33.2 avg, 0% loss)
10.56.1.1 : [44], 84 bytes, 15.8 ms (16.0 avg, 0% loss)
10.56.1.2 : [44], 84 bytes, 0.10 ms (0.10 avg, 0% loss)
10.56.1.3 : [44], 84 bytes, 36.2 ms (40.9 avg, 0% loss)
10.56.1.5 : [44], 84 bytes, 1.36 ms (1.58 avg, 0% loss)
10.56.1.4 : [44], 84 bytes, 30.8 ms (33.1 avg, 0% loss)
10.56.1.1 : [45], 84 bytes, 17.6 ms (16.0 avg, 0% loss)
10.56.1.2 : [45], 84 bytes, 0.10 ms (0.10 avg, 0% loss)
10.56.1.3 : [45], 84 bytes, 40.5 ms (40.9 avg, 0% loss)
10.56.1.5 : [45], 84 bytes, 1.41 ms (1.58 avg, 0% loss)
10.56.1.4 : [45], 84 bytes, 35.4 ms (33.2 avg, 0% loss)
10.56.1.1 : [46], 84 bytes, 15.3 ms (16.0 avg, 0% loss)
10.56.1.2 : [46], 84 bytes, 0.09 ms (0.10 avg, 0% loss)
10.56.1.3 : [46], 84 bytes, 36.0 ms (40.8 avg, 0% loss)
10.56.1.5 : [46], 84 bytes, 1.18 ms (1.57 avg, 0% loss)
10.56.1.4 : [46], 84 bytes, 31.1 ms (33.1 avg, 0% loss)
10.56.1.1 : [47], 84 bytes, 11.9 ms (15.9 avg, 0% loss)
10.56.1.2 : [47], 84 bytes, 0.08 ms (0.10 avg, 0% loss)
10.56.1.3 : [47], 84 bytes, 37.1 ms (40.7 avg, 0% loss)
10.56.1.5 : [47], 84 bytes, 1.78 ms (1.58 avg, 0% loss)
10.56.1.4 : [47], 84 bytes, 29.0 ms (33.1 avg, 0% loss)
10.56.1.1 : [48], 84 bytes, 12.4 ms (15.9 avg, 0% loss)
10.56.1.2 : [48], 84 bytes, 0.13 ms (0.10 avg, 0% loss)
10.56.1.5 : [48], 84 bytes, 6.08 ms (1.67 avg, 0% loss)
10.56.1.3 : [48], 84 bytes, 59.2 ms (41.1 avg, 0% loss)
10.56.1.4 : [48], 84 bytes, 61.8 ms (33.6 avg, 0% loss)
10.56.1.1 : [49], 84 bytes, 12.2 ms (15.8 avg, 0% loss)
10.56.1.2 : [49], 84 bytes, 0.12 ms (0.10 avg, 0% loss)
10.56.1.3 : [49], 84 bytes, 45.9 ms (41.2 avg, 0% loss)
10.56.1.5 : [49], 84 bytes, 1.07 ms (1.66 avg, 0% loss)
10.56.1.4 : [49], 84 bytes, 29.0 ms (33.6 avg, 0% loss)

10.56.1.1 : xmt/rcv/%loss = 50/50/0%, min/avg/max = 11.9/15.8/32.3
10.56.1.2 : xmt/rcv/%loss = 50/50/0%, min/avg/max = 0.06/0.10/0.16
10.56.1.3 : xmt/rcv/%loss = 50/50/0%, min/avg/max = 35.3/41.2/71.2
10.56.1.4 : xmt/rcv/%loss = 50/50/0%, min/avg/max = 26.2/33.6/61.8
10.56.1.5 : xmt/rcv/%loss = 50/50/0%, min/avg/max = 0.98/1.66/6.08
